Title,Year,Director,Genres,Trailer,Rotten Tomatoes
Against the Current,2021,Tod Hardin,"Documentary, Adventure",https://www.youtube.com/watch?v=zKV7VLbhooQ&t=1s,https://www.rottentomatoes.com/m/against_the_current_2021
Akira,1988,Katsuhiro Otomo,"Animation, Action, Drama, Sci-Fi",https://www.youtube.com/watch?v=nA8KmHC2Z-g,https://www.rottentomatoes.com/m/akira
All That Jazz,1979,Bob Fosse,"Drama, Music, Musical",https://www.youtube.com/watch?v=8_aIhkKlrwk,https://www.rottentomatoes.com/m/all_that_jazz
All The Beauty and the Bloodshed,2022,Laura Poitras,"Documentary, Biography",https://www.youtube.com/watch?v=YD5pYQiT1D4,https://www.rottentomatoes.com/m/all_the_beauty_and_the_bloodshed
Amelie,2001,Jean-Pierre Jeunet,"Comedy, Romance",https://www.youtube.com/watch?v=HUECWi5pX7o,https://www.rottentomatoes.com/m/amelie
Artificial intelligence,2001,Steven Spielberg,"Drama, Sci-Fi",https://www.youtube.com/watch?v=_19pRsZRiz4,https://www.rottentomatoes.com/m/ai_artificial_intelligence
Attack the Block,2011,Joe Cornish,"Action, Comedy, Sci-Fi",https://www.youtube.com/watch?v=cD0gm7dHKKc,https://www.rottentomatoes.com/m/attack_the_block
Bottoms,2023,Emma Seligman,"Comedy, Romance",https://www.youtube.com/watch?v=vH5NAahf76s,https://www.rottentomatoes.com/m/bottoms
Brazil,1985,Terry Gilliam,"Drama, Sci-Fi",https://www.youtube.com/watch?v=4Wh2b1eZFUM,https://www.rottentomatoes.com/m/brazil
Can't Hardly Wait,1998,"Harry Elfont, Deborah Kaplan","Comedy, Romance",https://www.youtube.com/watch?v=qukvN6ieeMY,https://www.rottentomatoes.com/m/cant_hardly_wait
Children of Men,2006,Alfonso Cuarón,"Drama, Sci-Fi, Thriller",https://www.youtube.com/watch?v=2VT2apoX90o,https://www.rottentomatoes.com/m/children_of_men
Chungking Express,1994,Wong Kar-wai,"Comedy, Crime, Drama",https://www.youtube.com/watch?v=C3NDz_7KP2g,https://www.rottentomatoes.com/m/chungking_express
Civil War,2024,Alex Garland,"Sci-Fi, Drama",https://www.youtube.com/watch?v=aDyQxtg0V2w,https://www.rottentomatoes.com/m/civil_war_2024
Dahomey,2023,Nadege MaZars,Drama,https://www.youtube.com/watch?v=uUi718ZBH0c,https://www.rottentomatoes.com/m/dahomey
Dear Zachary,2008,Kurt Kuenne,"Documentary, Crime, Drama",https://www.youtube.com/watch?v=dZXatzQ1kzg,https://www.rottentomatoes.com/m/1202867-dear_zachary
Death Wish,1974,Michael Winner,"Action, Crime, Drama",https://www.youtube.com/watch?v=2YPzSrb0NPI,https://www.rottentomatoes.com/m/death_wish
Den of Thieves,2018,Christian Gudegast,"Action, Crime, Drama, Thriller",https://www.youtube.com/watch?v=FKd_ks0rdAM,https://www.rottentomatoes.com/m/den_of_thieves
Double Take,2009,Johan Grimonprez,"Documentary, Thriller",https://www.youtube.com/watch?v=jHeh0AO0I30,https://www.rottentomatoes.com/m/10012263-double_take
Existenz,1999,David Cronenberg,"Horror, Sci-Fi, Thriller",https://www.youtube.com/watch?v=CXgOUa91GHg,https://www.rottentomatoes.com/m/existenz
Fire of Love,2022,Sara Dosa,"Documentary, Biography, Romance",https://www.youtube.com/watch?v=oMArx64RBO4,https://www.rottentomatoes.com/m/fire_of_love
Fog of War,2003,Errol Morris,"Documentary, War",https://www.youtube.com/watch?v=k_O7bD8Swxk,https://www.rottentomatoes.com/m/fog_of_war
Game Night,2018,"John Francis Daley, Jonathan Goldstein","Action, Comedy, Crime, Mystery",https://www.youtube.com/watch?v=qmxMAdV6s4U,https://www.rottentomatoes.com/m/game_night
Get Out,2017,Jordan Peele,"Horror, Thriller, Mystery",https://www.youtube.com/watch?v=DzfpyUB60YY,https://www.rottentomatoes.com/m/get_out
Good One,2024,India Donaldson,Drama,https://www.youtube.com/watch?v=RGZNT7qgeG4,https://www.rottentomatoes.com/m/good_one
Goodfellas,1990,Martin Scorcese,"Crime, Drama",https://www.youtube.com/watch?v=2ilzidi_J8Q,https://www.rottentomatoes.com/m/1032176-goodfellas
Her,2013,Spike Jonze,"Drama, Romance, Sci-Fi",https://www.youtube.com/watch?v=dJTU48_yghs,https://www.rottentomatoes.com/m/her
Infernal Affairs,2002,"Andrew Lau, Alan Mak","Action, Crime, Drama, Mystery, Thriller",https://www.youtube.com/watch?v=GNCv6zj8tIg,https://www.rottentomatoes.com/m/infernal_affairs
It's What's Inside,2024,Greg Jardin,"Drama, Sci-Fi",https://www.youtube.com/watch?v=RJBNi0CjX5I,https://www.rottentomatoes.com/m/its_whats_inside
Jiro Dreams of Sushi,2011,David Gelb,Documentary,https://www.youtube.com/watch?v=0VB_DrsHDQ0,https://www.rottentomatoes.com/m/jiro_dreams_of_sushi
John Wick,2014,Chad Stahelski,"Action, Thriller",https://www.youtube.com/watch?v=C0BMx-qxsP4,https://www.rottentomatoes.com/m/john_wick
Kiss Me Deadly,1955,Robert Aldrich,"Crime, Drama, Film-Noir, Mystery, Thriller",https://www.youtube.com/watch?v=ss4AF91KOFw,https://www.rottentomatoes.com/m/kiss_me_deadly
Longlegs,2024,Osgood Perkins,"Horror, Thriller",https://www.youtube.com/watch?v=OG7wOTE8NhE,https://www.rottentomatoes.com/m/longlegs
Memories of Murder,2003,Bong Joon-ho,"Crime, Drama, Mystery, Thriller",https://www.youtube.com/watch?v=0n_HQwQU8ls,https://www.rottentomatoes.com/m/memories_of_murder
Miami Vice,2006,Michael Mann,"Action, Crime, Drama, Thriller",https://www.youtube.com/watch?v=6WCKJ7KaIZY,https://www.rottentomatoes.com/m/miami_vice
Midnight Cowboy,1969,John Schlesinger,Drama,https://www.youtube.com/watch?v=o29GST0Lj28,https://www.rottentomatoes.com/m/midnight_cowboy
My First Film,2024,Zia Anger,"Documentary, Meta",https://www.youtube.com/watch?v=mmHP7CJxffo,https://www.rottentomatoes.com/m/my_first_film
Network,1976,Sidney Lumet,"Comedy, Drama",https://www.youtube.com/watch?v=1cSGvqQHpjs,https://www.rottentomatoes.com/m/network
On the Silver Globe,1988,Andrzej Żuławski,"Adventure, Drama, Fantasy, Sci-Fi",https://www.youtube.com/watch?v=zBFRiSlcBAg,https://www.rottentomatoes.com/m/on_the_silver_globe
Parasite,2019,Bong Joon-ho,"Drama, Thriller",https://www.youtube.com/watch?v=5xH0HfJHsaY,https://www.rottentomatoes.com/m/parasite_2019
Pat Garrett and Billy the Kid,1973,Sam Peckinpah,"Biography, Drama, Western",https://www.youtube.com/watch?v=a-e47wAkg9g,https://www.rottentomatoes.com/m/pat_garrett_and_billy_the_kid
Porcelain War,2023,"Brendan Bellomo, Slava Leontyev",Documentary,https://www.youtube.com/watch?v=JPxIHYUXeEk,https://www.rottentomatoes.com/m/porcelain_war
Quiz Show,1994,Robert Redford,"Biography, Drama, History",https://www.youtube.com/watch?v=bj-m3Ddmn0E,https://www.rottentomatoes.com/m/quiz_show
Red Rooms,2024,Pascal Plante,Thriller,https://www.youtube.com/watch?v=hYb9CESlrKc,https://www.rottentomatoes.com/m/red_rooms
Rio Bravo,1959,Howard Hawks,"Action, Drama, Western",https://www.youtube.com/watch?v=WPO12ZzGS84,https://www.rottentomatoes.com/m/rio_bravo
Scratch,2001,Doug Pray,"Documentary, Music",https://www.youtube.com/watch?v=G_u7s8NDz9o,https://www.rottentomatoes.com/m/scratch_2002
Senna,2010,Asif Kapadia,"Documentary, Biography, Sport",https://www.youtube.com/watch?v=_jMIULxyT4w,https://www.rottentomatoes.com/m/senna
Shrek,2001,"Andrew Adamson, Vicky Jenson","Animation, Adventure, Comedy, Family, Fantasy, Romance",https://www.youtube.com/watch?v=W37DlG1i61s,https://www.rottentomatoes.com/m/shrek
Some Kind of Heaven,2020,Lance Oppenheim,Documentary,https://www.youtube.com/watch?v=BHVTQjSGjHU,https://www.rottentomatoes.com/m/some_kind_of_heaven
Spirited Away,2001,Hayao Miyazaki,"Animation, Fantasy, Adventure",https://www.youtube.com/watch?v=ByXuk9QqQkk,https://www.rottentomatoes.com/m/spirited_away
Starlet,2012,Sean Baker,Drama,https://www.youtube.com/watch?v=MUSNZGYIfD4,https://www.rottentomatoes.com/m/starlet_2012
Style Wars,1983,Tony Silver,"Documentary, Music",https://www.youtube.com/watch?v=sR9qdaMKl6c,https://www.rottentomatoes.com/m/style_wars
The Act of Killing,2012,Joshua Oppenheimer,"Documentary, Biography, History",https://www.youtube.com/watch?v=6GiqYLrJBG0,https://www.rottentomatoes.com/m/the_act_of_killing
The Birds,1963,Alfred Hitchcock,"Drama, Horror, Mystery",https://www.youtube.com/watch?v=0fJh2gIBOto,https://www.rottentomatoes.com/m/1002448_birds
The Dark Knight,2008,Christopher Nolan,"Action, Crime, Drama",https://www.youtube.com/watch?v=EXeTwQWrcwY,https://www.rottentomatoes.com/m/the_dark_knight
The Duelists,1977,Ridley Scott,"Drama, War",https://www.youtube.com/watch?v=-yjl7u0Afqg,https://www.rottentomatoes.com/m/duellists
The In-Laws,1979,Arthur Hiller,"Action, Adventure, Comedy",https://www.youtube.com/watch?v=7aILHK6iHKg,https://www.rottentomatoes.com/m/the_in_laws_1979
The Killer,2023,David Fincher,"Action, Thriller",https://www.youtube.com/watch?v=vs1epO_zLG8,https://www.rottentomatoes.com/m/the_killer_2023
The Killing,1956,Stanley Kubrick,"Crime, Drama, Film-Noir, Thriller",https://www.youtube.com/watch?v=c0Odg-GY40w,https://www.rottentomatoes.com/m/killing
The Killing of a Chinese Bookie,1976,John Cassavetes,"Crime, Drama, Thriller",https://www.youtube.com/watch?v=1UTPS2iwAX4,https://www.rottentomatoes.com/m/killing_of_a_chinese_bookie
The King of Comedy,1982,Martin Scorcese,"Comedy, Drama",https://www.youtube.com/watch?v=0wVhCCo02P4,https://www.rottentomatoes.com/m/1011623-king_of_comedy
The Last of Sheila,1973,Herbert Ross,"Crime, Drama, Mystery",https://www.youtube.com/watch?v=NPHMoDpCHU8,https://www.rottentomatoes.com/m/the_last_of_sheila
The Nice Guys,2016,Shane Black,"Action, Comedy, Crime",https://www.youtube.com/watch?v=GQR5zsLHbYw,https://www.rottentomatoes.com/m/the_nice_guys
The Red Turtle,2016,Michaël Dudok de Wit,"Animation, Fantasy, Drama",https://www.youtube.com/watch?v=Sw7BggqBpTk,https://www.rottentomatoes.com/m/the_red_turtle
The Remarkable Life of Ibelin,2024,Benjamin Ree,Documentary,https://www.youtube.com/watch?v=lM_hkJ0Rl-c,https://www.rottentomatoes.com/m/the_remarkable_life_of_ibelin
The Salt of the Earth,2014,"Wim Wenders, Juliano Ribeiro Salgado","Documentary, Biography, History",https://www.youtube.com/watch?v=OivMlWXtWpY,https://www.rottentomatoes.com/m/the_salt_of_the_earth_2015
The Town,2010,Ben Affleck,"Crime, Drama, Thriller",https://www.youtube.com/watch?v=QQ7wcayQQLQ,https://www.rottentomatoes.com/m/the_town
This is England,2006,Shane Meadows,"Crime, Drama",https://www.youtube.com/watch?v=H0jkv2bRFgQ,https://www.rottentomatoes.com/m/this_is_england
Three Colors: Blue,1993,Krzysztof Kieślowski,"Drama, Music, Mystery",https://www.youtube.com/watch?v=Hxu6my_t4pM,https://www.rottentomatoes.com/m/three_colors_blue
Training Day,2001,Antoine Fuqua,"Crime, Darma, Thriller",https://www.youtube.com/watch?v=DXPJqRtkDP0,https://www.rottentomatoes.com/m/training_day
Triangle of Sadness,2022,Ruben Östlund,"Comedy, Drama",https://www.youtube.com/watch?v=VDvfFIZQIuQ,https://www.rottentomatoes.com/m/triangle_of_sadness
Uncut Gems,2019,"Josh Safdie, Benny Safdie","Crime, Drama, Thriller",https://www.youtube.com/watch?v=vTfJp2Ts9X8,https://www.rottentomatoes.com/m/uncut_gems
Unstoppable,2010,Tony Scott,"Action, Thriller",https://www.youtube.com/watch?v=fyuoIqeL-bc,https://www.rottentomatoes.com/m/unstoppable-2010
Usual Suspects,1995,Bryan Singer,"Crime, Drama, Mystery, Thriller",https://www.youtube.com/watch?v=oiXdPolca5w,https://www.rottentomatoes.com/m/usual_suspects
Walk Hard: The Dewey Cox Story,2007,Jake Kasdan,"Comedy, Drama, Music",https://www.youtube.com/watch?v=4W3zQkGpzC0,https://www.rottentomatoes.com/m/walk_hard
Working Girls,1986,Lizzie Borden,Drama,https://www.youtube.com/watch?v=OKDIcqv3Kdk,https://www.rottentomatoes.com/m/working_girls_1987